TRUE,edriawana,iofliuland,craiya,Anna Neutral Watch,Independent ,Neutral Foreign Policy ,craiya,rochein,echya,52.0 13.0 25.12299914311017 -17.0 24.0 30.99322438378087,81 E greom clax Street
TRUE,craiya,swaeq sneau,North snoera,Elizabeth Hard Science Institute,Corporate Corporate ,Conservative Hard Science ,North snoera,stroum chus,odriasia,294.0 21.0 45.60284261825145 -321.0 1.0 13.035651051034824,347 E osmurg Road
TRUE,edriawana,spoy strela,fleis flye,Gene Foreign Policy Council,Religious Corporate ,Neutral Foreign Policy ,fleis flye,swaeq sneau,vedrijan,252.0 13.0 4.143707467862387 -254.0 56.0 0.41050589543295857,83 S iethana Lane
TRUE,craiya,priestein,West stroum chus,Terry Neutral Think Tank,Religious Religious ,Neutral Social Science ,West stroum chus,friysil,echya,118.0 21.0 9.253833474185114 -358.0 7.0 16.06943005726639,4 S jotra Lane
TRUE,craiya,spoy strela,gescialand,James Social Science Research Institute,Independent ,Radical Left Social Science ,gescialand,ogrya,bleuv smana,43.0 35.0 39.63109099843286 -265.0 58.0 42.744868134621946,112 E Highkeep
TRUE,edriawana,boclain,astrurg,Elizabeth Social Science Think Tank,Independent ,Radical Left Social Science ,astrurg,South craiya,greom clax,342.0 59.0 27.593429840838972 -340.0 15.0 51.64155830040481,115 S gopruyvania
TRUE,edriawana,gescialand,uthiulor,Rock Foreign Policy Watch,Religious ,Nationalist Foreign Policy ,uthiulor,North stoydan,treiria,250.0 28.0 57.84368811926104 -142.0 30.0 58.76585595575171,320 N West jotra Road
TRUE,craiya,spoy strela,iupreosal,Dorris Foreign Policy Think Tank,Independent ,Radical Right Foreign Policy ,iupreosal,East fleisau,spoy strela,329.0 50.0 36.26777310004126 -56.0 10.0 10.815680569851187,50 E glaynia
TRUE,craiya,iupreosal,atron,Borris Social Science Watch,Religious ,Radical Right Social Science ,atron,atron,steitho,27.0 42.0 45.06347655609429 -220.0 27.0 26.859040575526105,287osmurg Road
TRUE,edriawana,spoy strela,odriasia,Robert Neutral Council,Religious ,Neutral Foreign Policy ,odriasia,atron,craorhiel,327.0 39.0 44.67676855014011 -260.0 35.0 27.88864509531081,108 N xusheurhiel Road
TRUE,craiya,spoy strela,fleis flye,Jason Social Science Council,Government Corporate Government ,Radical Right Social Science ,fleis flye,West apreyles,Highkeep,8.0 31.0 38.420417287387004 -42.0 15.0 20.01682346284888,236oskait
TRUE,craiya,pacren,Highkeep,Robert Conservative Council,Religious Religious Government ,Conservative Hard Science ,Highkeep,uthiulor,ostryae,160.0 33.0 49.6160533130512 -304.0 3.0 40.25582395739605,103 E iofliuland Street
