Active?,Middle East and North Africa,Region within MENA,Country,Think Tank Name,Think Tank Affiliation,Ideology,Country (Physical),City (Physical),Region (Physical),Coordinates,Street Address (unused)
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Businesswomen's Society,Foreign,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Center for Human Rights,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Centre for Studies and Research,Governmental,,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Human Rights Watch Society,Foreign,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Institute for Political Development,Governmental,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Society for Strategic Planning,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Bahrain Women Association for Human Development,Independent,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Bahrain,Bahrain Young Ladies Association,,,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,DERASAT: Bahrain Center for Strategic International and Energy Studies,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,Economic Development Board Bahrain,Foreign,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,International Peace Institute,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Bahrain,National Institute for Human Rights,Foreign,Lberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Al Shabaka- The Palestinian Policy Network,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Al-Mustakbal Foundation for Strategic and Policy Studies,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Al-Zaytouna Centre for Studies and Consultations,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Applied Research Institute-Jerusalem,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Arab Thought Forum,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Asala: Palestinian Businesswomen's Association,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Center for Palestine Research and Studies,Independent,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Contemporary Center for Studies and Policy Analysis ,,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Geneva Center for the Democratic Control of Armed Forces,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Health Development Information and Policy Institute,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Holy Land Trust,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Institute for Development Studies,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Institute of Palestine Studies,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Israel-Palestine: Creative Regional Initiatives (IPCRI),Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Issam Sartawi Center for the Advancement of Peace and Democracy,University,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Palestine,Jerusalem Center for Social and Economic Rights,,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Land Research Center,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,MA’AN Center,Independent,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Palestine,Middle East Institute for Development,,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Miftah: Palestinian Iniatitive for the Promotion of Global Dialogue and Democracy,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Muwatin Palestinian Institute for the Study of Democracy,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestine Academy for Science and Technology,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestine Economic Policy Research Institute- MAS,Independent,Non-Partisan,,,,,
FALSE,Middle East and North Africa,Middle East,Palestine,Palestine Energy and Environment Research Center,,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestinian Academic Society for the Study of International Affairs,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestinian Businessmen Association,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestinian Center for Policy and Survey Research,Independent,Liberal,,,,,
FALSE,Middle East and North Africa,Middle East,Palestine,Palestinian Center for Regional Studies,,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestinian Counseling Center,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Palestinian Curriculum Development Center,Foreign,Non-Partisan,,,,,
FALSE,Middle East and North Africa,Middle East,Palestine,Palestinian Economists Association,,,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Pal-Think for Strategic Studies,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Peace Research Institute in the Middle East,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,The House Of Wisdom Institution For Conflict Resolution & Governance,Foreign,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,The Palestinian Centre for Peace and Democracy,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Palestine,Ramallah Center for Human Rights Studies,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Al Jazeera Center for Studies,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Brookings Doha Center,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Center for International and Regional Studies- Georgetown University,University,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Doha Center for Media Freedom,Independent,Liberal,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Doha International Family Institute,Quasi-Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Education Development Institute,Quasi-Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Institute of Administrative Development,Governmental,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Qatar Environment and Energy Research Institute,University,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,Qatar Foundation,Foreign,Non-Partisan,,,,,
FALSE,Middle East and North Africa,Middle East,Qatar,Qatar Foundation for Combating Human Trafficking,,Non-Partisan,,,,,
FALSE,Middle East and North Africa,Middle East,Qatar,RAND-Qatar Policy Institute,,,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,RUSI Qatar,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,The Arab Center for Research and Policy ,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Qatar,The Social and Economic Survey Research Institute,University,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,Al-Aghar Group,Independent,Non-Partisan,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,Arabian Gulf Center for Iranian Studies,Independent,Conservative,,,,,
TRUE,Middle East and North Africa,Middle East,Saudi Arabia,Arab Urban Development Institute,Independent,Non-Partisan,,,,,
